Report Generated on: *01 ноября 2023 (среда)*

-----------------------------------Memory Audit Script----------------------------------------

---------------------------General and Virtual Memory Overview -------------------------------


Memory Overview:
------------------------------------Memory Usage----------------------------------------------

  PID USER             %MEM      VSZ    RSS
    1 root              0.2 409088368  25712
  297 root              0.3 408401312  48320
  299 root              0.0 408266560   7776
  301 root              0.0 408053264   1136
  302 root              0.0 408381584   7488
  303 root              0.1 408279136  21552
  306 root              0.0 408276240   7584
  308 root              0.1 408269104  10320
  309 root              0.0 408047152    528
  310 root              0.0 408266400   7680
  311 _biome            0.0 408264512   5216
  313 root              0.0 408265072   4736
  315 root              0.0 408264096   1600
  320 root              0.0 408070256   1024
  324 root              0.3 408576672  48976
  325 _iconservices     0.0 408264352   2624
  326 root              0.0 408271600   5792
  327 root              0.0 408263888   3728
  330 root              0.2 408287584  26464
  331 root              0.0 408235792   2112
  334 root              0.0 408264320   2064
  335 root              0.1 408295936  13056
  336 root              0.1 408352640  11088
  337 root              0.1 408268784  13520
  338 _timed            0.0 408264448   4288
  339 _usbmuxd          0.0 408270928   2208
  340 root              0.0 408268272   6736
  341 root              0.0 408068560    160
  343 _locationd        0.1 408308048  19872
  345 root              0.0 408179744      0
  346 root              0.2 408291824  29072
  348 _distnote         0.0 408168944   2528
  349 root              0.0 408103040   1600
  350 root              0.2 408282432  28128
  352 root              0.0 408102464   3616
  353 root              0.0 408265584   5808
  354 root              0.0 408077360      0
  355 root              0.0 408823744   5920
  358 root              0.0 408234304   2848
  360 root              0.0 408264544   5792
  361 root              0.1 408267408  18560
  363 root              0.0 408200944    944
  364 root              0.2 408379600  34016
  365 _windowserver     1.8 411976176 303328
  368 root              0.1 408274832  12784
  370 somaiyahsultani   0.4 409953264  72880
  371 root              0.1 408274320  11488
  372 root              0.1 408287744  14016
  373 root              0.0 408178336   3296
  374 root              0.0 408266512   5392
  375 root              0.0 408257248   3120
  385 root              0.1 408277296  14192
  391 _analyticsd       0.1 408275264  12144
  393 root              0.2 408283232  25456
  415 _coreaudiod       0.6 409381392  95280
  426 _nsurlsessiond    0.1 408306912   9440
  427 root              0.0 408233696   2864
  428 root              0.0 408263936   4928
  431 root              0.1 408280048  18576
  432 _networkd         0.1 408277184  10752
  435 root              0.0 408263216   4704
  436 root              0.0 408168944    704
  440 _windowserver     0.0 408168944    704
  442 root              0.0 408264864   7456
  450 _coreaudiod       0.0 408168944    704
  451 _mdnsresponder    0.1 408279008  12992
  457 root              0.0 408264432   2080
  458 root              0.0 408264528   2736
  461 _cmiodalassistants  0.0 408168944    704
  462 _softwareupdate   0.1 412761008  20752
  464 root              0.0 408266320   5728
  465 root              0.0 408234000   3744
  467 _softwareupdate   0.0 408168944    704
  470 root              0.5 411857440  86144
  475 _spotlight        0.0 408168944    720
  487 _cmiodalassistants  0.1 408387712  13440
  488 root              0.0 408267216   4912
  489 _cmiodalassistants  0.0 408266384   4448
  490 root              0.0 408227456   1712
  494 root              0.0 408824752   2400
  496 root              0.1 408204528   9824
  500 root              0.2 408373552  30688
  501 root              0.4 408336928  73968
  503 root              0.0 408273584   3600
  506 _locationd        0.1 408307808  13312
  507 _locationd        0.0 408168944   1024
  514 root              0.0 408264176   4880
  516 _driverkit        0.0 408496816     80
  517 _driverkit        0.0 408530032   1392
  518 _appleevents      0.0 408264976   4752
  524 root              0.1 408272032  14320
  555 _nsurlsessiond    0.0 408168944    704
  561 root              0.0 408264608   5776
  566 root              0.0 408265392   5472
  567 root              0.0 408265312   7632
  568 _mysql            0.0 409758848   3424
  569 somaiyahsultani   0.0 408170992   4912
  571 root              0.0 408225904    464
  573 somaiyahsultani   0.1 408268784   8928
  577 somaiyahsultani   0.1 409659280  16256
  578 somaiyahsultani   0.3 408291888  42288
  579 somaiyahsultani   0.1 409793584  22464
  580 somaiyahsultani   0.1 408295984   8736
  581 root              0.1 408269920   8896
  582 somaiyahsultani   0.3 410067392  50144
  583 somaiyahsultani   0.1 408274448  12032
  584 somaiyahsultani   0.4 409920608  63136
  585 somaiyahsultani   0.1 409865168  17440
  586 somaiyahsultani   0.6 414500016  96768
  587 somaiyahsultani   0.0 408264384   5888
  590 somaiyahsultani   0.1 408263328   9808
  591 somaiyahsultani   0.1 408514192  24496
  592 somaiyahsultani   0.1 408266384  11360
  593 root              0.0 408271808   6368
  594 somaiyahsultani   0.0 408102944   1648
  595 somaiyahsultani   0.1 408276736  11664
  596 somaiyahsultani   0.0 408762272   8320
  597 somaiyahsultani   0.0 408270736   7744
  599 somaiyahsultani   0.1 408308224  20000
  600 somaiyahsultani   0.0 408265088   4528
  601 somaiyahsultani   0.0 408266064   8208
  602 root              0.1 408287552  14992
  603 somaiyahsultani   0.1 408266928  11504
  604 somaiyahsultani   0.1 408301808  23264
  605 somaiyahsultani   0.1 408274400  18896
  606 somaiyahsultani   0.0 408263776   6768
  607 somaiyahsultani   0.1 408276128  15856
  608 somaiyahsultani   0.1 408288112  15856
  609 somaiyahsultani   0.2 408321408  26048
  610 somaiyahsultani   0.3 408441376  42192
  612 somaiyahsultani   0.0 408242192   6624
  613 somaiyahsultani   0.0 408233536   6160
  614 _appleevents      0.0 408168944    704
  615 root              0.1 408242064   9648
  616 somaiyahsultani   0.1 408422176  14720
  617 somaiyahsultani   0.2 408300400  38256
  618 somaiyahsultani   0.1 408283392  21744
  619 somaiyahsultani   0.1 408273024  12944
  620 somaiyahsultani   0.1 408389792   9280
  621 somaiyahsultani   0.2 408414992  27200
  622 somaiyahsultani   0.1 408220096  13760
  623 somaiyahsultani   0.2 408291168  34128
  624 somaiyahsultani   0.1 408664608  10832
  625 somaiyahsultani   0.1 408285520  11152
  626 somaiyahsultani   0.2 408307712  29376
  627 somaiyahsultani   0.2 408374576  34944
  629 somaiyahsultani   0.1 408273600  15520
  630 somaiyahsultani   0.2 408304224  27264
  631 somaiyahsultani   0.2 408430224  26368
  632 root              0.0 408095984    112
  633 somaiyahsultani   0.1 408266608   9072
  634 somaiyahsultani   0.1 408276784   9856
  635 somaiyahsultani   0.0 408272256   3056
  638 somaiyahsultani   0.1 408266928   8528
  639 somaiyahsultani   0.0 409183456   7024
  640 somaiyahsultani   0.3 409885376  48128
  642 somaiyahsultani   0.1 408314752  17680
  643 somaiyahsultani   0.1 408479792  20992
  644 somaiyahsultani   0.1 408265216   8736
  645 somaiyahsultani   0.0 408287488   1280
  646 somaiyahsultani   0.1 408292240  22416
  647 somaiyahsultani   0.1 408276144  13088
  648 somaiyahsultani   0.3 408305712  44688
  649 somaiyahsultani   0.1 408220992  12848
  652 somaiyahsultani   0.0 408267424   8064
  654 somaiyahsultani   0.1 409766928  10544
  656 somaiyahsultani   0.0 408264064   3008
  657 somaiyahsultani   0.0 408268512   2784
  659 somaiyahsultani   0.2 408346224  38928
  660 somaiyahsultani   0.1 409697456  21776
  661 somaiyahsultani   0.1 408268416  13824
  662 somaiyahsultani   0.1 408270240  21232
  663 somaiyahsultani   0.0 408211520   7456
  665 somaiyahsultani   0.1 409865520  17072
  667 somaiyahsultani   0.1 408266224  10560
  669 root              0.0 408233584   1248
  670 somaiyahsultani   0.1 408271536  14032
  671 somaiyahsultani   0.7 408631840 115728
  672 somaiyahsultani   0.1 408279568   9776
  673 somaiyahsultani   0.3 408824800  49072
  675 somaiyahsultani   0.0 408233616   1824
  677 somaiyahsultani   0.1 408317120  13072
  678 somaiyahsultani   0.1 408799184  18048
  679 somaiyahsultani   0.0 408272320   6144
  680 somaiyahsultani   0.0 408264304   3808
  681 somaiyahsultani   0.0 408103632   3424
  682 somaiyahsultani   0.0 408263872   5280
  684 _oahd             0.0 408508672    576
  685 somaiyahsultani   0.1 408273104  10176
  686 somaiyahsultani   0.1 408265424   8816
  688 _nearbyd          0.0 408271184   7200
  689 somaiyahsultani   0.1 409837056  13200
  690 somaiyahsultani   0.1 408274592  14272
  691 somaiyahsultani   1.1 411663488 181184
  693 somaiyahsultani   0.1 408292128   9920
  695 _fpsd             0.0 408104912   3472
  696 somaiyahsultani   0.0 408242448   7344
  697 somaiyahsultani   0.8 409552688 140176
  699 somaiyahsultani   0.1 408279872  17584
  702 somaiyahsultani   0.1 408421456  21920
  704 somaiyahsultani   0.1 408313728  12752
  705 somaiyahsultani   0.1 408274176  13104
  708 somaiyahsultani   0.1 408319312  14176
  709 somaiyahsultani   0.1 408313728  24384
  711 somaiyahsultani   0.1 408273424  12048
  713 somaiyahsultani   0.2 412747248  25600
  715 somaiyahsultani   0.1 409766624   8800
  717 root              0.0 408281760   7568
  718 somaiyahsultani   0.1 408263728   8896
  719 somaiyahsultani   0.0 408102384   2480
  720 somaiyahsultani   0.1 408275376  16128
  721 somaiyahsultani   0.1 409644112  17824
  722 somaiyahsultani   0.0 408271712   6960
  723 somaiyahsultani   0.1 408437024  23424
  724 root              0.0 408263728   4256
  725 somaiyahsultani   0.2 408516304  33664
  726 somaiyahsultani   0.4 408425504  69776
  727 somaiyahsultani   0.2 408341824  36432
  728 somaiyahsultani   0.1 408312816  20624
  730 somaiyahsultani   0.2 408341632  26608
  734 somaiyahsultani   0.1 408275520  19488
  735 somaiyahsultani   0.1 409657152  13888
  736 somaiyahsultani   0.0 408264784   6080
  737 somaiyahsultani   0.1 408283968   8448
  739 somaiyahsultani   0.0 408233856   4176
  740 somaiyahsultani   0.0 408265248   7504
  741 somaiyahsultani   0.0 408263728   5344
  743 somaiyahsultani   0.0 408264672   7696
  744 root              0.1 408281472   9824
  746 somaiyahsultani   0.1 410106688  19664
  748 somaiyahsultani   0.1 408301584  16256
  749 root              0.0 408208464    304
  750 somaiyahsultani   0.0 408234048   2016
  753 somaiyahsultani   0.1 408430416  12368
  754 somaiyahsultani   0.1 408296480  10320
  759 somaiyahsultani   0.0 409661328   7728
  762 somaiyahsultani   0.0 408263808   2464
  763 somaiyahsultani   0.0 408268496   8016
  765 root              0.0 408264288   7152
  768 root              0.0 408265456   4736
  772 somaiyahsultani   0.1 408272784  11424
  778 root              0.0 408592720   1440
  779 _gamecontrollerd  0.0 408168944    704
  781 somaiyahsultani   0.1 408281952  15600
  782 root              0.0 408102960   2816
  784 somaiyahsultani   0.2 412715536  27440
  785 somaiyahsultani   0.0 408263856   3904
  786 root              0.1 408434368  16000
  787 somaiyahsultani   0.1 408308608  19488
  788 somaiyahsultani   0.3 408399504  57920
  789 somaiyahsultani   0.0 408235072   2880
  791 root              0.0 408264224   6704
  792 root              0.0 408266016   5584
  793 _applepay         0.0 408168944    704
  796 somaiyahsultani   0.0 408265120   5376
  802 somaiyahsultani   0.0 408257008   5344
  805 somaiyahsultani   0.0 408267856   5520
  810 somaiyahsultani   0.1 408408336  25120
  811 somaiyahsultani   0.1 408268832   9120
  812 somaiyahsultani   0.0 408234224   1952
  814 somaiyahsultani   0.0 408264672   5136
  815 somaiyahsultani   0.0 408271120   5888
  817 somaiyahsultani   0.1 408271968  14416
  818 somaiyahsultani   0.0 408553248   4800
  821 somaiyahsultani   0.0 408132560   3584
  823 _accessoryupdater  0.0 408168944    720
  831 somaiyahsultani   0.0 408233440   3104
  832 _softwareupdate   0.1 412919456  11264
  833 somaiyahsultani   0.1 409698720  11424
  840 somaiyahsultani   0.1 412918560  13648
  847 root              0.1 409641264  11136
  852 somaiyahsultani   0.1 408267520  10320
  854 somaiyahsultani   0.1 408274288   8992
  855 somaiyahsultani   0.0 408217328   6880
  858 _fpsd             0.0 408207120   5200
  859 root              0.0 408084192   1808
  860 root              0.0 408213008   7056
  862 _assetcache       0.0 408168944    704
  866 somaiyahsultani   0.0 409659376   7216
  871 somaiyahsultani   0.1 408564976   9312
  872 somaiyahsultani   0.1 408277408  11808
  873 somaiyahsultani   0.1 408274912  16656
  874 somaiyahsultani   0.1 408321536  21504
  876 somaiyahsultani   0.2 408334160  36720
  877 somaiyahsultani   0.0 408268208   6880
  886 somaiyahsultani   0.0 408267136   6064
  905 root              0.0 408047712   1104
  908 somaiyahsultani   0.1 412833296   9792
  913 somaiyahsultani   0.1 408229344  13424
  914 root              0.0 408178176   2064
  917 somaiyahsultani   0.1 408265344   8832
