M:org.apache.commons.math3.filter.KalmanFilter:getErrorCovarianceMatrix() (I)org.apache.commons.math3.linear.RealMatrix:copy()
M:org.apache.commons.math3.filter.KalmanFilter:predict() (M)org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:predict(double[]) (O)org.apache.commons.math3.linear.ArrayRealVector:<init>(double[],boolean)
M:org.apache.commons.math3.filter.KalmanFilter:predict(double[]) (M)org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:getDimension()
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:getColumnDimension()
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:getDimension()
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:getColumnDimension()
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (O)org.apache.commons.math3.exception.DimensionMismatchException:<init>(int,int)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:operate(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:operate(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:add(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.filter.ProcessModel:getProcessNoise()
M:org.apache.commons.math3.filter.KalmanFilter:predict(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:add(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(double[]) (O)org.apache.commons.math3.linear.ArrayRealVector:<init>(double[],boolean)
M:org.apache.commons.math3.filter.KalmanFilter:correct(double[]) (M)org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (S)org.apache.commons.math3.util.MathUtils:checkNotNull(java.lang.Object)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:getDimension()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:getRowDimension()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (M)org.apache.commons.math3.linear.RealVector:getDimension()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:getRowDimension()
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (O)org.apache.commons.math3.exception.DimensionMismatchException:<init>(int,int)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
M:org.apache.commons.math3.filter.KalmanFilter:correct(org.apache.commons.math3.linear.RealVector) (I)org.apache.commons.math3.linear.RealMatrix:multiply(org.apache.commons.math3.linear.RealMatrix)
